Contract,,,,,,,,,,,,,,,,,,,,,,,,
Contract Name,Contract No.,Contract Status,Contract Type,Vendor(Vendor)_Vendor ID,Contract Document Code,Phase,City,Department ID,Contract Total Amount,Approved Job Orders Total,Not-Yet Approved Job Orders Total,Available Amount,NTP Date Construction/Sign Date Design,Award Date (Construction) / Sign Date (Design),Contract Duration,Revised Timeline,State_State,Contract(Master Contract)_Contract No.,Project Names,Type of Service,Project Delivery Method,Encumbrance/Not to Exceed (MA),Award Date,Award Date_Award Date
Downtown Mapping 1st ST - 1st AVE Center - Sirrine M99-2016-023 Cardno,CT-F165-17000078,Approved,Design Professional Services Contract,VS0000003217,CT,120 - Direct Expenses,Dallas,F165,138260,0,0,138260,10/17/2016 00:00:00,10/17/2016 00:00:00,120,121,TX,,Downtown Mapping,Professional Service,NA,0,,
LF0478 Monterey Park Playground Improvements - Exerplay,DO-F165-21008609,Approved,Job Order,VS0000008015,DO,104 - Construction,Cedar Crest,F165,660381.2,0,0,660381.2,09/30/2021 00:00:00,06/08/2021 00:00:00,90,91,NM,MA-F165-21000038,"Monterey Park Athletic Fields, Monterey Park Athletic Fields - FUNDING ONLY, Monterey Park Playground Improvements, Monterey Park Playground Improvements - FUNDING ONLY",Construction,Job Order Contracting (JOC),437330.17,,
LF0033H08D Residential Street Overlays-Quater Section,DO-F165-14007867,Approved,Job Order,CNV570044,DO,,Tempe,F165,819873.86,0,0,819873.86,,06/10/2014 00:00:00,,0,AZ,,Residential Street Overlays-Quarter Section H08D,Construction,Job Order Contracting (JOC),807302.89,,
"C10391PRV4 PRV No. 5, No. 6, No. 17, and No. 29 Improvements Talis",DO-F165-18006719,Approved,Job Order,CNV570044,DO,104 - Construction,Mesa,F165,541457.22,0,0,541457.22,,03/05/2018 00:00:00,150,0,AZ,MA-F165-16000377R1,"PRV Replace - 5, 6, 17, 29 &amp; PRV 9, 10 w/ Watermain Connection Improvements, PRV Stn Replacements - Aging - Funding Only",Construction,Job Order Contracting (JOC),529196.89,,
CP0668 Main Street Tree Plan Norris Design,DO-F165-17010543,Approved,Project Order,VS0000001581,DO,102 - Design,Denver,F165,79705,0,0,79705,,07/06/2017 00:00:00,270,0,CO,MA-F165-16000355R1,"Main Street Tree Revitalization - ""SO"", Main Street Tree Revitalization-Funding Only",Professional Service,NA,79705,,
CP0039 Ivyglen Control Rehabilitation,CT-F165-15000005,Closed,Construction Services Contract for Design-Bid-Build Projects,CNV159034,CT,,Coolidge,F165,500263,0,0,500263,09/08/2014 00:00:00,,123,0,AZ,,Ivy Glen Sulfide Control Station Rehabilitation,Construction,Design Bid Build (DBB),0,,
CP0439P3 Arterial Reconstructions Project 3,DO-F165-15010327,Approved,Job Order,CNV570044,DO,104 - Construction,Tempe,F165,577505.42,0,0,577505.42,07/20/2015 00:00:00,05/28/2015 00:00:00,90,87,AZ,MA-F165-13000770Y3,"Aterial Reconstruct Southern Ave (58th Plc/Power Rd) Asphalt Only Master, CAP Aterial Reconstruct Southern Ave (58th Place - Power Rd) Asphalt Only FUNDING ONLY, WTR Aterial Reconstruct Southern Ave (58th Place - Power Rd) Asphalt Only FUNDING ONLY",Construction,Job Order Contracting (JOC),577505.42,04/30/2015 00:00:00,
Master On-Call 2016 RENEWAL: Architectural Services - Michael Wilson Kelly,MA-F165-17000202R1,Approved,Design Professional Master Contract,VS0000000501,MA,102 - Design,Phoenix,F165,1000000,0,0,1000000,12/27/2017 00:00:00,,0,0,AZ,,,Professional Service,NA,0,,
CP0439P2 - Arterial Reconstructions Project 2,DO-F165-14006918,Approved,Project Order,CNV211745,DO,,Phoenix,F165,107266.67,0,0,107266.67,03/20/2014 00:00:00,06/10/2014 00:00:00,,0,AZ,,Arterial Reconstructions Project 2,Professional Service,,94241.01,,
CP0956SR16 Pepper Place Sewer Line Garney Companies Job Order,DO-F165-23001305,Approved,Job Order,CNV390275,DO,104 - Construction,North Kansas City,F165,1741476.83,0,0,1741476.83,09/20/2022 00:00:00,09/01/2022 00:00:00,155,156,MO,MA-F165-23000019,"Pepper Place Sewer Line (Extension to Date), Pepper Place Sewer Line (Extension to Date) - FUNDING ONLY",Construction,Job Order Contracting (JOC),0,,
CP0586GUHJ New Traffic Signal at Guadalupe and Highland Jr High / Talis,DO-F165-19095498,Approved,Job Order,CNV570044,DO,104 - Construction,Mesa,F165,273852.88,0,0,273852.88,06/26/2019 00:00:00,06/24/2019 00:00:00,60,61,AZ,MA-F165-19003186,"Guadalupe - Highland Junior High, Guadalupe - Highland Junior High - FUNDING ONLY",Construction,Job Order Contracting (JOC),273852.88,,
CP0776 McDowell Road Underpass Erosion Architekton,PO-F165-18005458,Approved,Project Order,CNV498629,DO,102 - Design,Tempe,F165,37250,0,0,37250,,01/17/2018 00:00:00,0,0,AZ,MA-F165-17000198R1,"McDowell Road Underpass Repairs (at GreenField and Higley), McDowell Road Underpass Repairs (at GreenField and Higley) - FUNDING ONLY",Professional Service,NA,0,,
CP0956SR13 Star Valley Street Sewer Force Main - Garney Construction,DO-F165-23000512,Approved,Job Order,CNV390275,DO,104 - Construction,North Kansas City,F165,1111277.34,0,0,1111277.34,07/25/2022 00:00:00,07/21/2022 00:00:00,120,121,MO,MA-F165-21000037R1,"Access, Inspection and Cleaning - Sewage Force Mains, Access, Inspection and Cleaning - Sewage Force Mains - FUNDING ONLY",Construction,Job Order Contracting (JOC),0,,
C05032 Desert Well 19 CSW Constructors DBB Contract,CT-F165-18000006,Closed,Construction Services Contract for Design-Bid-Build Projects,CNV18091,CT,104 - Construction,Scottsdale,F165,1236096.27,0,0,1236096.27,08/18/2017 00:00:00,06/26/2017 00:00:00,240,250,AZ,,"Desert Wells #19 Equip - FUNDING ONLY, Desert Wells #19 Equip Master",Construction,Design Bid Build (DBB),0,,
Transportation Master On-Call - Y2K Engineering,MA-F165-21000118R2,Approved,Design Professional Master Contract,VS0000011279,MA,102 - Design,Mesa,F165,1000000,0,0,1000000,10/21/2022 00:00:00,10/21/2022 00:00:00,365,366,AZ,,,Professional Service,NA,0,,
CP1025 HHM HVAC Corrective Measures / HACI Service LLC Job Order,DO-F165-21005902,Approved,Job Order,VS0000002310,DO,104 - Construction,Phoenix,F165,89329.61,0,0,89329.61,03/22/2021 00:00:00,03/11/2021 00:00:00,30,77,AZ,MA-F165-21000087,"HHM HVAC Corrective Measures, HHM HVAC Corrective Measures and Water Infiltration - FUNDING ONLY",Construction,Job Order Contracting (JOC),84495.61,,
CP0614 Southern/Solomon Drainage Improvements Talis Job Order,DO-F165-17008813,Approved,Job Order,CNV570044,DO,104 - Construction,Tempe,F165,391441.3,0,0,391441.3,,05/15/2017 00:00:00,75,0,AZ,MA-F165-16000377R1,"Solomon and Southern Drainage, Solomon and Southern Drainage Grant, Solomon and Southern Drainage Master",Construction,Job Order Contracting (JOC),391441.3,,
LF0033H08B Residential Street Overlay H08B,DO-F165-16002226,Approved,Job Order,CNV570044,DO,104 - Construction,Tempe,F165,736573.91,0,0,736573.91,09/28/2015 00:00:00,,150,151,AZ,MA-F165-13000770Y3,Residential Street Overlay H08B,Construction,Job Order Contracting (JOC),736573.91,,
Master On-Call RENEWAL WWW Pipeline Services - Burgess & Niple,MA-F165-21000077R1,Approved,Design Professional Master Contract,CNV336912,MA,102 - Design,Columbus,F165,1000000,92200,0,907800,09/30/2021 00:00:00,09/30/2021 00:00:00,365,366,OH,,,Professional Service,NA,0,,
Electrical Engineering On-Call Master Agreement - GLHN Architects and Engineers,MA-F165-21000143R1,Approved,Design Professional Master Contract,VS0000003408,MA,102 - Design,Tucson,F165,1000000,0,0,1000000,11/24/2021 00:00:00,11/10/2021 00:00:00,365,366,AZ,,,Professional Service,NA,0,,
CP0726 Firefly at Southern Drainage Talis JOC,DO-F165-17003176,Approved,Job Order,CNV570044,DO,104 - Construction,Tempe,F165,17809.83,0,0,17809.83,10/20/2016 00:00:00,10/19/2016 00:00:00,45,46,AZ,MA-F165-16000375,"Firefly Avenue Drainage Project, Firefly Avenue Drainage Project (CAP CP0726) - FUNDING ONLY",Construction,Job Order Contracting (JOC),0,,
Greenfield Water Reclamation Plant Phase 3 Expansion CP0067 Marc Taylor Inc,DO-F165-17005711,Approved,Project Order,CNV121614,DO,102 - Design,Peoria,F165,44675,0,0,44675,01/31/2017 00:00:00,01/31/2017 00:00:00,90,91,AZ,MA-F165-16000211R1,Greenfield Wastewater Reclamation Plant Expansion,Professional Service,NA,0,,
Master On-Call W/WW Plant Services - Brown & Caldwell,MA-F165-21000089R1,Approved,Design Professional Master Contract,CNV117684,MA,,San Francisco,F165,1000000,0,0,1000000,09/30/2021 00:00:00,09/30/2021 00:00:00,365,366,CA,,,Professional Service,NA,0,,
CP0108FEN Stadium Connector Fencing Talis Job Order,DO-F165-18000100,Approved,Job Order,CNV570044,DO,104 - Construction,Tempe,F165,80257.64,0,0,80257.64,,07/06/2017 00:00:00,45,0,AZ,MA-F165-16000375R1,Stadium Connector,Construction,Job Order Contracting (JOC),79510.41,,
CP0439P5B Alma School Road Arterial Reconstruct Alma School Road (Broadway Road to Main Street) - Fishel Construction Company/DBB,CT-F165-21000047,Approved,Construction Services Contract for Design-Bid-Build Projects,CNV120499,CT,104 - Construction,Columbus,F165,3425587.1,0,0,3425587.1,12/07/2020 00:00:00,10/21/2020 00:00:00,200,201,OH,,"Alma School Road Arterial Reconstruct, Alma School Road Arterial Reconstruct GAS FUNDING ONLY, Alma School Road Arterial Reconstruct TRANS FUNDING ONLY, Alma School Road Arterial Reconstruct WATER FUNDING ONLY",Construction,Design Bid Build (DBB),0,,
Materials Lab Master Agreement ACS Services,MA-F165-14000433,Closed,Job Order Master,CNV130575,MA,104 - Construction,Mesa,F165,250000,0,0,250000,12/01/2013 00:00:00,,,0,AZ,,,Construction,Job Order Contracting (JOC),250000,,
LF0309 Countryside Park Lighting Improvements Valley Rain Job Order,DO-F165-18009858,Approved,Job Order,MAR222550210,DO,104 - Construction,Tempe,F165,858546.58,0,0,858546.58,,06/28/2018 00:00:00,90,0,AZ,MA-F165-16000373R2,"Lighting Replacement for Countryside Ballfields, Lighting Replacement for Countryside Ballfields-Funding only",Construction,Job Order Contracting (JOC),891318.63,,
Master On-Call Potholing Services 2020 - AZTEC,MA-F165-21000138,Approved,Design Professional Master Contract,VS0000001831,MA,,Phoenix,F165,1000000,1550,0,998450,,11/10/2020 00:00:00,0,0,AZ,,,Professional Service,NA,0,,
Gas Service Line for Dexcom CP04810048 B & F Contracting Inc,DO-F165-17003094,Closed,Job Order,CNV668524,DO,104 - Construction,Phoenix,F165,43844.42,0,0,43844.42,,10/24/2016 00:00:00,16,0,AZ,MA-F165-16000376,"Gas Sys New Main Service Line for Dexcom, Gas Sys New Main Service Line for Dexcom - Funding Only",Construction,Job Order Contracting (JOC),43844.42,10/24/2016 00:00:00,
GWRP Primary Sludge Screening Conveyor Felix Construction,DO-F165-17004732,Closed,Job Order,CNV159034,DO,104 - Construction,Coolidge,F165,105285.41,0,0,105285.41,12/29/2016 00:00:00,12/08/2016 00:00:00,180,181,AZ,MA-F165-14000500R2,"GWRP Misc Plant Improv &amp; Equip Rep 0007-Funding Only, GWRP Misc Plant Improv &amp; Equip Rep POM",Construction,Job Order Contracting (JOC),0,12/08/2016 00:00:00,
Master On-Call General Engineering Services - PEC Design,MA-F165-21000033R2,Approved,Design Professional Master Contract,CNV578495,MA,102 - Design,Phoenix,F165,1000000,0,0,1000000,08/17/2022 00:00:00,08/17/2022 00:00:00,365,366,AZ,,,Professional Service,NA,0,,
Y2K Engineering - On-Call Master Agreement - Transportation Services,MA-F165-21000118R1,Approved,Design Professional Master Contract,VS0000011279,MA,102 - Design,Mesa,F165,1000000,235310,0,764690,10/21/2021 00:00:00,10/21/2021 00:00:00,365,366,AZ,,,Professional Service,NA,0,,
LF0033J06A Street Overlays J06A,DO-F165-15004153,Approved,Job Order,CNV570044,DO,104 - Construction,Tempe,F165,721228.23,0,0,721228.23,11/13/2014 00:00:00,,120,0,AZ,MA-F920-13000770Y2,Residential Street Overlay J06A,Construction,Job Order Contracting (JOC),721228.23,,
CP0555STRM Emerald Acres Drainage  Gavan and Barker Inc,DO-F165-16003157,Approved,Project Order,VS0000001561,DO,102 - Design,Phoenix,F165,41610,0,0,41610,,,185,0,AZ,MA-F165-14000615R1,Emerald Acres Drainage Imp,Professional Service,,40310,,
Falcon Field Pavement Management - Large Crack Repair,DO-F165-15010930,Closed,Job Order,CNV570044,DO,104 - Construction,Tempe,F165,129314.12,0,0,129314.12,,,,0,AZ,MA-F165-13000770Y3,General Pavement Replacement,Construction,Job Order Contracting (JOC),122600,,
Master On-Call RENEWAL: Mechanical Engineering - Bridgers & Paxton,MA-F165-15000166R1,Closed,Design Professional Master Contract,VS0000001802,MA,102 - Design,Albuquerque,F165,1000000,0,0,1000000,10/02/2015 00:00:00,,,0,NM,,,Professional Service,,1000000,,
Master On-Call RENEWAL - Electrical Engineering Sub-Category B Tor Engineering,MA-F165-15000210R1,Closed,Design Professional Master Contract,CNV483087,MA,102 - Design,Phoenix,F165,1000000,151964.25,0,848035.75,11/02/2015 00:00:00,,,0,AZ,,,Professional Service,,1000000,,
CP0485RMLI Red Mountain Multi-Gen Grading and Landscape Upgrade JOC Valley Rain,DO-F165-17008862,Approved,Job Order,MAR222550210,DO,104 - Construction,Tempe,F920,161735.97,0,0,161735.97,,05/25/2017 00:00:00,120,0,AZ,MA-F165-16000373R1,CP0485RMLI Engineering Park Landscape Irrigation 2012 Gas Bond POM,Construction,Job Order Contracting (JOC),161735.97,,
JOC-L15 Job Order Master Agreement Valley Rain,MA-F165-16000373,Approved,Job Order Master,MAR222550210,MA,104 - Construction,Tempe,F165,5000000,1247059.88,880698.04,2872242.08,04/28/2016 00:00:00,04/28/2016 00:00:00,364,365,AZ,,,Construction,Job Order Contracting (JOC),0,,
CP0566GWRP GWRP Sludge Blending  Tank Rehab,DO-F165-15006211,Approved,Project Order,CNV117684,DO,102 - Design,San Francisco,F165,52650,0,0,52650,01/21/2015 00:00:00,,84,0,CA,MA-F165-15000132,GWRP Sludge Blending  Tank Rehab,Professional Service,,52650,,
CP0569 Brooks Pump Station Chlorination Piping Upgrades,DO-F165-17001998,Approved,Job Order,CNV159034,DO,104 - Construction,Coolidge,F165,81624.93,0,0,81624.93,11/14/2016 00:00:00,10/31/2016 00:00:00,140,361,AZ,MA-F165-14000500R2,Brooks Pump Station Improvements,Construction,Job Order Contracting (JOC),0,,
Master On-Call: Water-Wastewater in ROW - EPS Group,MA-F165-15000138,Closed,Design Professional Master Contract,CNV668257,MA,102 - Design,Mesa,F165,1000000,0,0,1000000,10/01/2014 00:00:00,,,0,AZ,,,Professional Service,,1000000,,
Master On-Call 2018: Architectural Services - Arrington Watkins,MA-F165-19000168,Approved,Design Professional Master Contract,VC0000013673,MA,102 - Design,Phoenix,F165,1000000,0,0,1000000,12/20/2018 00:00:00,,0,0,AZ,,,Professional Service,NA,0,,
CP0274CAP Lighting on Consolidated Canal Phase 2-Adobe to Lindsay,DO-F165-16005319,Approved,Project Order,CNV136565,DO,102 - Design,Chicago,F165,29266.03,0,0,29266.03,,12/22/2015 00:00:00,,0,IL,MA-F165-15000169R1,Lighting on Consolidated Canal Phase 2-Adobe to Lindsay,Professional Service,,29266,,
CP0263/CP0067 GWRP Bus Duct Replacement McCarthy CMAR GMP 3,CT-F165-19000094,Approved,CMAR Construction Services Contract,CNV38482,CT,104 - Construction,Phoenix,F165,2247538,0,0,2247538,02/05/2019 00:00:00,01/15/2019 00:00:00,420,421,AZ,,"GWRP Buss Duct Replacement, GWRP Headworks &amp; Solids Building Duct Upgrades",Construction,Construction Manager at Risk (CMAR),0,,
14000053,MA-F165-14000053,Approved,Design Professional Master Contract,CNV64629,MA,,Mesa,F165,1000000,0,0,1000000,11/13/2012 00:00:00,06/10/2014 00:00:00,,0,AZ,,,Professional Service,,1000000,,
CP1008 Asset Management Room Conversion GH2 Architects Project Order,Do-F165-21007441,Approved,Project Order,VS0000011617,DO,102 - Design,Tulsa,F165,2984,0,0,2984,04/20/2021 00:00:00,04/20/2021 00:00:00,5,6,OK,MA-F165-21000159,"Asset Management Room Conversion, Asset Management Room Conversion - FUNDING ONLY",Professional Service,NA,0,,
CP0439P2 Arterial Reconstructions Project 2,CT-F165-15000038,Approved,Construction Services Contract for Design-Bid-Build Projects,VS0000004903,CT,104 - Construction,Riverside,F165,5199465.29,0,0,5199465.29,09/08/2014 00:00:00,,240,0,CA,,Arterial Reconstructions Project 2,Construction,Design Bid Build (DBB),0,,
Master On-Call 2018: Electric UTILITY T&D Engineering Design - TOR,MA-F165-19000176,Approved,Design Professional Master Contract,CNV483087,MA,102 - Design,Phoenix,F165,1000000,0,0,1000000,01/08/2019 00:00:00,,0,0,AZ,,,Professional Service,NA,0,,
CP0797ODOR Greenfield WRP Primary Odor Control Trough Replacement Garney Job Order,DO-F165-19095658,Approved,Job Order,CNV390275,DO,104 - Construction,Kansas City,F165,189949.83,0,0,189949.83,07/15/2019 00:00:00,07/11/2019 00:00:00,175,176,MO,MA-F165-18000007R1,"GWRP Odor Control Trough Replacement, Primary Odor Control Scrubber Drainage Trough Rehab-Funding Only",Construction,Job Order Contracting (JOC),189949.83,,
CP0641DSR2 and CP06410001 Reservoir Assessments HDR Engineering,CT-F165-20000050,Approved,Design Professional Services Contract,CNV82686,CT,102 - Design,Chicago,F165,56630,0,0,56630,08/08/2019 00:00:00,08/08/2019 00:00:00,200,201,IL,,"Desert Sage Reservoir Liner and Drain Valve Replacement, Desert Sage Reservoir Liner and Drain Valve Replacement-funding only, Desert Wells Reservoir #2 Strip and Recoat-funding only, Reservoir Rehab",Professional Service,NA,0,,
JOC-NG18 Job Order Master Agreement RENEWAL - RP Companies,MA-F165-19000249R1,Approved,Job Order Master,VS0000011309,MA,104 - Construction,Phoenix,F165,3000000,273222.99,0,2726777.01,,02/05/2020 00:00:00,0,0,AZ,,,Construction,Job Order Contracting (JOC),0,,
C09036MSG Falcon Field Signage – Message Board Sign CORE Job Order,DO-F165-20008827,Approved,Job Order,VS0000002305,DO,104 - Construction,Phoenix,F165,226580,0,0,226580,07/09/2020 00:00:00,07/06/2020 00:00:00,160,206,AZ,MA-F165-19003214,"Falcon Field Airport Signage – Message Board, Falcon Field Airport Signage Message Board - FUNDING ONLY",Construction,Job Order Contracting (JOC),226580,,
CP0916 IDEA Museum Phase I EMC2 Architects,DO-F165-19095121,Closed,Project Order,MAR6000224405,DO,102 - Design,Mesa,F165,75001,0,0,75001,06/20/2019 00:00:00,06/20/2019 00:00:00,100,101,AZ,MA-F165-19000170,"IDEA Phase 1 - Funding Only, IDEA Rennovation",Professional Service,NA,54645.56,,
CP0504CAP Alma School Lift Station - CP0504 - Ninyo & Moore,CT-F165-15000090,Approved,Design Professional Services Contract,VS0000005967,CT,102 - Design,San Diego,F165,7500,0,0,7500,02/11/2015 00:00:00,,60,0,CA,,Alma School Lift Station Slab Deflection,Professional Service,,7500,,
N Beverly Street Water Main Rehabilitation,DO-F165-16010057,Closed,Job Order,CNV570044,DO,104 - Construction,Tempe,F165,116863.83,0,0,116863.83,07/05/2016 00:00:00,06/15/2016 00:00:00,30,80,AZ,MA-F165-16000377,N Beverly St Watermain Rehabilitation Project,Construction,Job Order Contracting (JOC),132437.07,,
On-Call Falcon Field Airport - Jviation,MA-F165-23000053,Approved,Design Professional Master Contract,CNV106542,MA,102 - Design,Cincinnati,F165,1000000,291265.75,0,708734.25,08/16/2022 00:00:00,08/16/2022 00:00:00,365,366,OH,,,Professional Service,NA,0,,
Master On-Call 2016: Water & Wastewater Plants - Black & Veatch,MA-F165-17000098,Closed,Design Professional Master Contract,CNV596655,MA,102 - Design,Kansas City,F165,1000000,0,30084,969916,,10/03/2016 00:00:00,0,0,MO,,,Professional Service,NA,0,,
LF01991st 1st Place Speed Hump,DO-F165-16009052,Approved,Job Order,CNV570044,DO,120 - Direct Expenses,Tempe,F920,5186.51,0,0,5186.51,05/18/2016 00:00:00,05/09/2016 00:00:00,29,0,AZ,MA-F165-13000770Y4,1ST PLACE SPEED HUMP,Construction,Job Order Contracting (JOC),0,,
14000039,MA-F165-14000039,Approved,Design Professional Master Contract,CNV78840,MA,,Palatine,F165,1000000,0,0,1000000,10/01/2012 00:00:00,06/10/2014 00:00:00,,0,IL,,,Professional Service,,1000000,,
CP0461-0018 Lewis East Substation Rebuild TOR Engineering Project Order,DO-F165-18006834,Approved,Project Order,CNV483087,DO,102 - Design,Phoenix,F165,252975.4,0,0,252975.4,,03/27/2018 00:00:00,711,0,AZ,MA-F165-17000166R1,"Lewis East, 69kv to 12kv, Transformer and Switchgear Line-up Replacement, Lewis East, 69kV to 12kV, Transformer and Switchgear Line-up Replacement-funding only",Professional Service,NA,129387,,
CP0630-0005 SEWRP Fiber Loop CR Engineers Project Order,DO-F165-19001447,Approved,Project Order,VS0000001080,DO,102 - Design,Fountain Hills,F165,10968.88,0,0,10968.88,09/25/2018 00:00:00,09/25/2018 00:00:00,90,91,AZ,MA-F165-17000157R1,"SEWRP Fiber Optic Loop, SEWRP Fiber Optic Loop - Funding Only",Professional Service,NA,3990,,
Warner & Sossaman Road High Pressure Gas Line CP0442 0005,DO-F165-17002390,Approved,Project Order,VS0000005431,DO,102 - Design,Tucson,F165,55800,0,0,55800,,,0,0,AZ,MA-F165-15000162R1,"8"" High Pressure Gas Line Extention: Warner - EmF to Sossaman and Sossaman - Warner to 1/2 Mile North OLD",Professional Service,NA,60670.75,,
Master On-Call RENEWAL: General Engineering: Aztec Eng.,MA-F165-19000011R1,Approved,Design Professional Master Contract,VS0000001831,MA,102 - Design,Phoenix,F165,1000000,8695,0,991305,08/15/2019 00:00:00,08/19/2019 00:00:00,365,366,AZ,,,Professional Service,NA,0,,
Master On-Call RENEWAL: General Engineering: Sunrise Engineering,MA-F165-19000015R1,Approved,Design Professional Master Contract,CNV417408,MA,102 - Design,Phoenix,F165,1000000,42744,0,957256,08/15/2019 00:00:00,08/19/2019 00:00:00,0,0,AZ,,,Professional Service,NA,0,,
CP0915 North Center Sports Fields - Valley Rain CMAR Contract,CT-F165-22000041,Approved,CMAR Construction Services Contract,MAR222550210,CT,104 - Construction,Tempe,F165,8219856.19,0,0,8219856.19,07/28/2021 00:00:00,07/26/2021 00:00:00,510,511,AZ,,"Lehi Sports Park (North Center Sports Fields), North Center Street Fields - FUNDING ONLY, North Center Street Sports Complex Development - FUNDING ONLY",Construction,Construction Manager at Risk (CMAR),0,,
CP0855 Lindsay Pump Station Rectifier Garney Job Order,DO-F165-18005918,Approved,Job Order,CNV390275,DO,104 - Construction,Kansas City,F165,138359.99,0,0,138359.99,,02/07/2018 00:00:00,135,0,MO,MA-F165-18000007,"Lindsay Pump Stations Rectifier Replacement, Lindsay Pump Stations Rectifier Replacement-funding only",Construction,Job Order Contracting (JOC),138359.99,,
CP0671 South Canal Shared Use Path Dibble Design Contract,CT-F165-17000121,Approved,Design Professional Services Contract,CNV241687,CT,102 - Design,Phoenix,F165,251425.54,0,0,251425.54,03/08/2017 00:00:00,03/08/2017 00:00:00,630,1942,AZ,,"Shared Use Path Consolidated Canal to McDowell, South Canal SUP - Consolidated Canal to McKellips",Professional Service,NA,0,,
M99-2020-041 Survey Equipment Storage Room Integrity Building Corp. Job Order,DO-F165-21005242,Approved,Job Order,CNV133205,DO,104 - Construction,Mesa,F165,4892.6,0,0,4892.6,05/04/2021 00:00:00,03/09/2021 00:00:00,30,31,AZ,MA-F165-21000135,"Survey Equipment Storage Room, Survey Equipment Storage Room - FUNDING ONLY",Construction,Job Order Contracting (JOC),0,,
Master On-Call 2018: Electrical Engineering GENERAL Design - Jensen,MA-F165-19000132,Approved,Design Professional Master Contract,CNV385395,MA,102 - Design,Cave Creek,F165,1000000,95122.5,0,904877.5,12/03/2018 00:00:00,,0,0,AZ,,,Professional Service,NA,0,,
CP0627-0001 NWWRP Facility Evaluation Arcadis Design Contract,CT-F165-18000009,Approved,Design Professional Services Contract,CNV118419,CT,102 - Design,Chicago,F165,441816,0,0,441816,07/18/2017 00:00:00,07/18/2017 00:00:00,180,181,IL,,"NWWRP Facility Evaluation-funding only, NWWRP Facility Evaluation-SO",Professional Service,NA,0,,
CP0553 Kleinman Prk Renovation    J2,CT-F165-16000124,Closed,Design Professional Services Contract,CNV706930,CT,102 - Design,Phoenix,F165,95459.82,0,0,95459.82,05/23/2016 00:00:00,05/23/2016 00:00:00,120,121,AZ,,"Kleinman Park, Kleinman Park - FUNDING ONLY",Professional Service,NA,0,,
CP0720 Harris Drive Streetlighting - Southern to 8th Avenue - Talis Job Order,DO-F165-18001982,Approved,Job Order,CNV570044,DO,104 - Construction,Tempe,F165,159170.22,0,0,159170.22,,09/12/2017 00:00:00,140,0,AZ,MA-F165-16000375R1,"CP0720 Harris Dr Streetlighting Southern to 8th Ave, Harris Dr Streetlighting-Southern to 8th Ave",Construction,Job Order Contracting (JOC),159170.22,,
CP0586GLBT Traffic Signal Reconstruction Group 1 Talis Job Order,DO-F165-18000499,Approved,Job Order,CNV570044,DO,104 - Construction,Tempe,F165,286527.82,0,0,286527.82,08/14/2017 00:00:00,07/26/2017 00:00:00,60,61,AZ,MA-F165-16000375R1,"Gilbert Traffic Signals Funding only, Traffic Signal Reconstruction 1 (Gilbert &amp; Hampton)",Construction,Job Order Contracting (JOC),286527.83,,
Master RENEW On-Call 2018: Water & Wastewater Plant Design - NCS,MA-F165-19000095R1,Approved,Design Professional Master Contract,CNV659533,MA,102 - Design,Phoenix,F165,1000000,0,0,1000000,10/04/2019 00:00:00,10/04/2019 00:00:00,365,366,AZ,,,Professional Service,NA,0,,
14000050,MA-F165-14000050,Approved,Design Professional Master Contract,CNV336912,MA,,Columbus,F165,1000000,0,0,1000000,06/11/2013 00:00:00,06/10/2014 00:00:00,,0,OH,,,Professional Service,,1000000,,
C05033 Desert Well 20 Equipping Wilson Engineers Project Order,DO-F165-17003046,Approved,Project Order,CNV309540,DO,102 - Design,Phoenix,F165,103245,0,0,103245,,,559,0,AZ,MA-F165-17000102,"Desert Well 20 Drill and Equip - FUNDING ONLY, Desert Well 20 Drill and Equip Master",Professional Service,NA,103245,,
On-Call Master W/WW Plant Services - Brown & Caldwell,MA-F165-21000089R2,Approved,Design Professional Master Contract,CNV117684,MA,102 - Design,San Francisco,F165,1000000,0,0,1000000,10/15/2022 00:00:00,10/15/2022 00:00:00,365,366,CA,,,Professional Service,NA,0,,
CP0673 Eastern Canal SUP Phase 2 - Y2K Engineering,DO-F165-21007868,Approved,Project Order,VS0000011279,DO,102 - Design,Mesa,F165,208565,0,0,208565,05/05/2021 00:00:00,05/05/2021 00:00:00,210,211,AZ,MA-F165-21000118,"Eastern Canal SUP: Brown to Broadway, Eastern Canal SUP: Brown to Broadway - FUNDING ONLY",Professional Service,NA,208565,,
CP0534-0114 Main North Alley Electrical Upgrades Talis Job Order,Do-F165-20003422,Approved,Job Order,CNV570044,DO,104 - Construction,Mesa,F920,35780.85,0,0,35780.85,,10/23/2019 00:00:00,0,0,AZ,MA-F165-19003239,"Main North Alley Electrical Upgrades, Main North Alley Electrical Upgrades - FUNDING ONLY",Construction,Job Order Contracting (JOC),0,,
Master RENEW On-Call 2018: Transportation - Sunrise,MA-F165-19000109R1,Approved,Design Professional Master Contract,CNV417408,MA,102 - Design,Phoenix,F165,1000000,0,0,1000000,10/05/2019 00:00:00,10/05/2019 00:00:00,0,0,AZ,,,Professional Service,NA,0,,
Master On-Call RENEWAL: General Engineering - Sunrise Engineering,MA-F165-15000167R1,Closed,Design Professional Master Contract,CNV23329,MA,102 - Design,Phoenix,F165,1000000,26708,0,973292,10/01/2015 00:00:00,,,0,AZ,,,Professional Service,,0,,
